Rank,Title,Year,Runtime,Genre,Plot,Language,Poster,Metascore,rating,imdb_title,tomatoURL
61,WALL·E,2008,98 min,"Animation, Adventure, Family","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTg5OTU0NF5BMl5BanBnXkFtZTcwMjMxMzMzMw@@._V1_SX300.jpg,94,8.4,tt0910970,http://www.rottentomatoes.com/m/wall_e/
62,American Beauty,1999,122 min,"Drama, Romance",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4NTI5NzYyNV5BMl5BanBnXkFtZTgwNTkxNTYxMTE@._V1_SX300.jpg,86,8.4,tt0169547,http://www.rottentomatoes.com/m/american_beauty/
63,The Dark Knight Rises,2012,164 min,"Action, Thriller","Eight years after the Joker's reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","English, Arabic",https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg,78,8.5,tt1345836,http://www.rottentomatoes.com/m/the_dark_knight_rises/
64,Princess Mononoke,1997,134 min,"Animation, Adventure, Fantasy","On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",Japanese,https://images-na.ssl-images-amazon.com/images/M/MV5BMTVlNWM4NTAtNDQxYi00YWU5LWIwM2MtZmVjYWFmODZiODE5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,76,8.4,tt0119698,http://www.rottentomatoes.com/m/princess_mononoke_1999/
65,Aliens,1986,137 min,"Action, Adventure, Sci-Fi","The moon from Alien (1979) has been colonized, but contact is lost. This time, the rescue team has impressive firepower, but will it be enough?",English,https://images-na.ssl-images-amazon.com/images/M/MV5BYzVlMWViZGEtYjEyYy00YWZmLThmZGEtYmM4MDZlN2Q5MmRmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,87,8.4,tt0090605,http://www.rottentomatoes.com/m/1000617-aliens/
66,Oldboy,2003,120 min,"Drama, Mystery, Thriller","After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",Korean,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_SX300.jpg,74,8.4,tt0364569,http://www.rottentomatoes.com/m/oldboy/
67,Once Upon a Time in America,1984,229 min,"Crime, Drama","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.","English, Italian, French",https://images-na.ssl-images-amazon.com/images/M/MV5BMGFkNWI4MTMtNGQ0OC00MWVmLTk3MTktOGYxN2Y2YWVkZWE2XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,8.4,tt0087843,http://www.rottentomatoes.com/m/once_upon_a_time_in_america/
68,Witness for the Prosecution,1957,116 min,"Crime, Drama, Mystery",A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"English, German",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MjgyNTUyNF5BMl5BanBnXkFtZTcwNDQzMDg0Nw@@._V1_SX300.jpg,N/A,8.4,tt0051201,http://www.rottentomatoes.com/m/witness_for_the_prosecution/
69,Das Boot,1981,149 min,"Adventure, Drama, Thriller","The claustrophobic world of a WWII German U-boat; boredom, filth, and sheer terror.","German, English, French",https://images-na.ssl-images-amazon.com/images/M/MV5BNGRmOWY0MGUtNTVhMy00NzRlLTljNDAtNTBiNTRlODgxNmY2XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,86,8.4,tt0082096,http://www.rottentomatoes.com/m/das_boot/
70,Citizen Kane,1941,119 min,"Drama, Mystery","Following the death of a publishing tycoon, news reporters scramble to discover the meaning of his final utterance.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2Mjc1MDQwMl5BMl5BanBnXkFtZTcwNzUyOTUyMg@@._V1_SX300.jpg,100,8.4,tt0033467,http://www.rottentomatoes.com/m/citizen_kane/
71,Dangal,2016,161 min,"Action, Biography, Drama",Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,Hindi,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_SX300.jpg,N/A,8.7,tt5074352,http://www.rottentomatoes.com/m/dangal/
72,North by Northwest,1959,136 min,"Action, Adventure, Mystery","A hapless New York advertising executive is mistaken for a government agent by a group of foreign spies, and is pursued across the country while he looks for a way to survive.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwMTQ0MzgwNl5BMl5BanBnXkFtZTgwNjc4ODE4MzE@._V1_SX300.jpg,N/A,8.4,tt0053125,http://www.rottentomatoes.com/m/north-by-northwest/
73,Vertigo,1958,128 min,"Mystery, Romance, Thriller","A San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,8.4,tt0052357,http://www.rottentomatoes.com/m/vertigo/
74,Star Wars: Episode VI - Return of the Jedi,1983,131 min,"Action, Adventure, Fantasy","After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BODllZjg2YjUtNWEzNy00ZGY2LTgyZmQtYTkxNDYyOWM3OTUyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,53,8.4,tt0086190,http://www.rottentomatoes.com/m/return_of_the_jedi/
75,Reservoir Dogs,1992,99 min,"Crime, Drama, Thriller","After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,78,8.3,tt0105236,http://www.rottentomatoes.com/m/reservoir_dogs/
76,Braveheart,1995,178 min,"Biography, Drama, History","When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.","English, French, Latin, Scottish Gaelic",https://images-na.ssl-images-amazon.com/images/M/MV5BODg4NzA0MTktOGU5ZS00ODlkLWE3ZmQtYjAzNjNmM2E3NmEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,68,8.4,tt0112573,http://www.rottentomatoes.com/m/1065684-braveheart/
77,M,1931,99 min,"Crime, Drama, Mystery","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",German,https://images-na.ssl-images-amazon.com/images/M/MV5BZjIwMTM0ZDEtMTdiMy00NmQ0LWJmYmMtNGJmNmMzZmJlZjVkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,8.4,tt0022100,http://www.rottentomatoes.com/m/1012928-m/
78,Requiem for a Dream,2000,102 min,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BOTdiNzJlOWUtNWMwNS00NmFlLWI0YTEtZmI3YjIzZWUyY2Y3XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,68,8.4,tt0180093,http://www.rottentomatoes.com/m/requiem_for_a_dream/
79,Amélie,2001,122 min,"Comedy, Romance","Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","French, Russian, English",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3MjVkMWMtYTQ4ZC00ODczLWFjYmQtMDFkZDQ2Y2M0NDVmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,69,8.4,tt0211915,http://www.rottentomatoes.com/m/amelie/
80,Like Stars on Earth,2007,165 min,"Drama, Family, Music","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Hindi, English",https://images-na.ssl-images-amazon.com/images/M/MV5BNTVmYTk2NjAtYzY3MS00YjFjLTlkYzktYzg3YzMyZDQyOWRiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,N/A,8.5,tt0986264,http://www.rottentomatoes.com/m/like_stars_on_earth/
81,A Clockwork Orange,1971,136 min,"Crime, Drama, Sci-Fi","In future Britain, Alex DeLarge, a charismatic and psycopath delinquent, who likes to practice crimes and ultra-violence with his gang, is jailed and volunteers for an experimental aversion therapy developed by the government in an effort to solve society's crime problem - but not all goes according to plan.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MjM1Mzc4N15BMl5BanBnXkFtZTgwODM0NzAxMDE@._V1_SX300.jpg,78,8.3,tt0066921,http://www.rottentomatoes.com/m/clockwork_orange/
82,Lawrence of Arabia,1962,216 min,"Adventure, Biography, Drama","The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","English, Arabic, Turkish",https://images-na.ssl-images-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,100,8.3,tt0056172,http://www.rottentomatoes.com/m/lawrence_of_arabia/
83,Taxi Driver,1976,113 min,"Crime, Drama","A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feeds his urge for violent action, while attempting to save a preadolescent prostitute in the process.","English, Spanish",https://images-na.ssl-images-amazon.com/images/M/MV5BNGQxNDgzZWQtZTNjNi00M2RkLWExZmEtNmE1NjEyZDEwMzA5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,93,8.3,tt0075314,http://www.rottentomatoes.com/m/taxi_driver/
84,Double Indemnity,1944,107 min,"Crime, Drama, Film-Noir",An insurance representative lets himself be talked into a murder/insurance fraud scheme that arouses an insurance investigator's suspicions.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BZmRmYmZkZTktZDc5ZC00ZjZmLTg4NWMtYjM3MjcyNTVjNGQ5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,8.3,tt0036775,http://www.rottentomatoes.com/m/double_indemnity/
85,Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi","When their relationship turns sour, a couple undergoes a procedure to have each other erased from their memories. But it is only through the process of loss that they discover what they had to begin with.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_SX300.jpg,89,8.3,tt0338013,http://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind/
86,Amadeus,1984,160 min,"Biography, Drama, History","The incredible story of Wolfgang Amadeus Mozart, told by his peer and secret rival Antonio Salieri - now confined to an insane asylum.","English, Italian, Latin, German",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NDkwMTk5N15BMl5BanBnXkFtZTYwODg3MDk2._V1_SX300.jpg,93,8.3,tt0086879,http://www.rottentomatoes.com/m/amadeus/
87,To Kill a Mockingbird,1962,129 min,"Crime, Drama","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BN2YxZDUxYzMtYzQxNy00NTRjLThmZjQtY2Q4Njg2MTUyOTkzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,8.3,tt0056592,http://www.rottentomatoes.com/m/to_kill_a_mockingbird/
88,Toy Story 3,2010,103 min,"Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.","English, Spanish",https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,92,8.3,tt0435761,http://www.rottentomatoes.com/m/toy_story_3/
89,Full Metal Jacket,1987,116 min,"Drama, War",A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,"English, Vietnamese",https://images-na.ssl-images-amazon.com/images/M/MV5BNzc2ZThkOGItZGY5YS00MDYwLTkyOTAtNDRmZWIwMGRhYTc0L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,76,8.3,tt0093058,http://www.rottentomatoes.com/m/full_metal_jacket/
90,2001: A Space Odyssey,1968,149 min,"Adventure, Sci-Fi","Humanity finds a mysterious, obviously artificial object buried beneath the Lunar surface and, with the intelligent computer H.A.L. 9000, sets off on a quest.","English, Russian",https://images-na.ssl-images-amazon.com/images/M/MV5BMTZkZTBhYmUtMTIzNy00YTViLTg1OWItNGUwMmVlN2FjZTVkXkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,86,8.3,tt0062622,http://www.rottentomatoes.com/m/1000085-2001_a_space_odyssey/
91,Singin' in the Rain,1952,103 min,"Comedy, Musical, Romance",A silent film production company and cast make a difficult transition to sound.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BZDRjNGViMjQtOThlMi00MTA3LThkYzQtNzJkYjBkMGE0YzE1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,N/A,8.3,tt0045152,http://www.rottentomatoes.com/m/singin_in_the_rain/
92,Your Name,2016,106 min,"Animation, Drama, Fantasy","Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Japanese, Chinese",https://images-na.ssl-images-amazon.com/images/M/MV5BODRmZDVmNzUtZDA4ZC00NjhkLWI2M2UtN2M0ZDIzNDcxYThjL2ltYWdlXkEyXkFqcGdeQXVyNTk0MzMzODA@._V1_SX300.jpg,79,8.6,tt5311514,https://www.rottentomatoes.com/m/your_name_2016
93,The Sting,1973,129 min,"Comedy, Crime, Drama","In Chicago in September 1936, a young con man seeking revenge for his murdered partner teams up with a master of the big con to win a fortune from a criminal banker.",English,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5MjM1OTAyOV5BMl5BanBnXkFtZTgwMDkwODg4MDE@._V1._CR52,57,915,1388_SX89_AL_.jpg_V1_SX300.jpg",80,8.3,tt0070735,http://www.rottentomatoes.com/m/1020130-sting/
94,Toy Story,1995,81 min,"Animation, Adventure, Comedy",A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,English,https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@._V1_SX300.jpg,95,8.3,tt0114709,http://www.rottentomatoes.com/m/toy_story/
95,Bicycle Thieves,1948,89 min,Drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",Italian,https://images-na.ssl-images-amazon.com/images/M/MV5BOTI3NTcwNzEtNDA1MS00ZjE0LThkNDEtMmU4MjVmNTQ1ZDBmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,8.3,tt0040522,http://www.rottentomatoes.com/m/the_bicycle_thief/
96,The Kid,1921,68 min,"Comedy, Drama, Family","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BZjhhMThhNDItNTY2MC00MmU1LTliNDEtNDdhZjdlNTY5ZDQ1XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,N/A,8.3,tt0012349,http://www.rottentomatoes.com/m/1052609-kid/
97,Inglourious Basterds,2009,153 min,"Adventure, Drama, War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","English, German, French, Italian",https://images-na.ssl-images-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,69,8.3,tt0361748,http://www.rottentomatoes.com/m/inglourious_basterds/
98,3 Idiots,2009,170 min,"Adventure, Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Hindi, English",https://images-na.ssl-images-amazon.com/images/M/MV5BZWRlNDdkNzItMzhlZC00YTdmLWIwNjktYjY5NjQ1ZmQ3N2FkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,67,8.4,tt1187043,http://www.rottentomatoes.com/m/3_idiots/
99,Snatch,2000,102 min,"Comedy, Crime","Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","English, Russian",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2NDYxOGYtYjU1Mi00Y2QzLTgxMTQtMWI1MGI0ZGQ5MmU4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,55,8.3,tt0208092,http://www.rottentomatoes.com/m/snatch/
100,Monty Python and the Holy Grail,1975,91 min,"Adventure, Comedy, Fantasy","King Arthur and his knights embark on a low-budget search for the Grail, encountering many, very silly obstacles.","English, French, Latin",https://images-na.ssl-images-amazon.com/images/M/MV5BNmNmZjViNTQtNDQ5Mi00MDYzLWI5YWMtNDUyZGNmMGZhNDg4XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,93,8.3,tt0071853,http://www.rottentomatoes.com/m/monty_python_and_the_holy_grail/
101,L.A. Confidential,1997,138 min,"Crime, Drama, Mystery","As corruption grows in 1950s LA, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,90,8.3,tt0119488,http://www.rottentomatoes.com/m/la_confidential/
102,For a Few Dollars More,1965,132 min,Western,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Italian,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMjIzOTEzMF5BMl5BanBnXkFtZTcwMTUzNTk3NA@@._V1_SX300.jpg,N/A,8.3,tt0059578,http://www.rottentomatoes.com/m/for_a_few_dollars_more/
103,The Hunt,2012,115 min,Drama,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.","Danish, English, Polish",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2NDg3ODg4NF5BMl5BanBnXkFtZTcwNzk3NTc3Nw@@._V1_SX300.jpg,76,8.3,tt2106476,http://www.rottentomatoes.com/m/the_hunt_2013/
104,Good Will Hunting,1997,126 min,Drama,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BOTI0MzcxMTYtZDVkMy00NjY1LTgyMTYtZmUxN2M3NmQ2NWJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,70,8.3,tt0119217,http://www.rottentomatoes.com/m/good_will_hunting/
105,Scarface,1983,170 min,"Crime, Drama","In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.","English, Spanish",https://images-na.ssl-images-amazon.com/images/M/MV5BNjdjNGQ4NDEtNTEwYS00MTgxLTliYzQtYzE2ZDRiZjFhZmNlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,65,8.3,tt0086250,http://www.rottentomatoes.com/m/scarface/
106,My Father and My Son,2005,108 min,Drama,The family of a left-wing journalist is torn apart after a military coup in 1980's Turkey.,Turkish,https://images-na.ssl-images-amazon.com/images/M/MV5BNjAzMzEwYzctNjc1MC00Nzg5LWFmMGItMTgzYmMyNTY2OTQ4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,8.6,tt0476735,http://www.rottentomatoes.com/m/babam-ve-oglum-my-father-and-my-son/
107,The Apartment,1960,125 min,"Comedy, Drama, Romance","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BN2YxYmUyZGItZWEzYy00NTA3LThhM2UtZThhNDM5NWYxZGQ1L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,8.3,tt0053604,http://www.rottentomatoes.com/m/1001115-apartment/
108,Rashomon,1950,88 min,"Crime, Drama, Mystery",A heinous crime and its aftermath are recalled from differing points of view.,Japanese,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk1MDU5MjQ5NF5BMl5BanBnXkFtZTgwMDM2OTE4MzE@._V1_SX300.jpg,N/A,8.3,tt0042876,N/A
109,A Separation,2011,123 min,"Drama, Mystery",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Persian,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMzU4NDUwOF5BMl5BanBnXkFtZTcwMTM5MjA5Ng@@._V1_SX300.jpg,95,8.4,tt1832382,http://www.rottentomatoes.com/m/a_separation_2011/
110,Metropolis,1927,153 min,"Drama, Sci-Fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",German,https://images-na.ssl-images-amazon.com/images/M/MV5BNDAzNTkyODg1MF5BMl5BanBnXkFtZTgwMDA3NDkwMDE@._V1_SX300.jpg,98,8.3,tt0017136,http://www.rottentomatoes.com/m/1013775-metropolis/
111,Indiana Jones and the Last Crusade,1989,127 min,"Action, Adventure, Fantasy","When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana Jones must follow in his father's footsteps to stop the Nazis from getting their hands on the Holy Grail first.","English, German, Greek, Arabic",https://images-na.ssl-images-amazon.com/images/M/MV5BMjNkMzc2N2QtNjVlNS00ZTk5LTg0MTgtODY2MDAwNTMwZjBjXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,65,8.3,tt0097576,http://www.rottentomatoes.com/m/indiana_jones_and_the_last_crusade/
112,All About Eve,1950,138 min,Drama,An ingenue insinuates herself into the company of an established but aging stage actress and her circle of theater friends.,"English, French",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg,N/A,8.3,tt0042192,http://www.rottentomatoes.com/m/1000626-all_about_eve/
113,Yojimbo,1961,110 min,"Action, Drama, Thriller",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,Japanese,https://images-na.ssl-images-amazon.com/images/M/MV5BZThiZjAzZjgtNDU3MC00YThhLThjYWUtZGRkYjc2ZWZlOTVjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,N/A,8.3,tt0055630,http://www.rottentomatoes.com/m/yojimbo/
114,Batman Begins,2005,140 min,"Action, Adventure","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.","English, Urdu, Mandarin",https://images-na.ssl-images-amazon.com/images/M/MV5BNTM3OTc0MzM2OV5BMl5BanBnXkFtZTYwNzUwMTI3._V1_SX300.jpg,70,8.3,tt0372784,http://www.rottentomatoes.com/m/batman_begins/
115,Up,2009,96 min,"Animation, Adventure, Comedy","Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,88,8.3,tt1049413,http://www.rottentomatoes.com/m/up/
116,Some Like It Hot,1959,121 min,"Comedy, Romance","When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BNzAyOGIxYjAtMGY2NC00ZTgyLWIwMWEtYzY0OWQ4NDFjOTc5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,N/A,8.3,tt0053291,http://www.rottentomatoes.com/m/some_like_it_hot/
117,The Treasure of the Sierra Madre,1948,126 min,"Adventure, Drama, Western","Fred Dobbs and Bob Curtin, two Americans searching for work in Mexico, convince an old prospector to help them mine for gold in the Sierra Madre Mountains.","English, Spanish",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MzUzOTYwOV5BMl5BanBnXkFtZTgwNDA4MzgyMjE@._V1_SX300.jpg,N/A,8.3,tt0040897,http://www.rottentomatoes.com/m/treasure_of_the_sierra_madre/
118,Unforgiven,1992,131 min,"Drama, Western","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner and a young man.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BODM3YWY4NmQtN2Y3Ni00OTg0LWFhZGQtZWE3ZWY4MTJlOWU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,82,8.2,tt0105695,http://www.rottentomatoes.com/m/1041911-unforgiven/
119,Downfall,2004,156 min,"Biography, Drama, History","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.","German, Russian, Hungarian",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1OTI1MjE2Nl5BMl5BanBnXkFtZTcwMTEwMzc4NA@@._V1_SX300.jpg,82,8.3,tt0363163,https://www.rottentomatoes.com/m/downfall
120,Raging Bull,1980,129 min,"Biography, Drama, Sport","An emotionally self-destructive boxer's journey through life, as the violence and temper that leads him to the top in the ring destroys his life outside it.",English,https://images-na.ssl-images-amazon.com/images/M/MV5BNDg1YTFlMDgtNzNhNy00ODhlLWFhMTAtOTE5MjhjNzI0NDljXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,92,8.2,tt0081398,http://www.rottentomatoes.com/m/raging_bull/
121,Die Hard,1988,131 min,"Action, Thriller","John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.","English, German, Italian",https://images-na.ssl-images-amazon.com/images/M/MV5BYmY2ZGEwMTYtNjBmZS00OGE4LWEyMmUtNjAwMWUxZjVmZTRiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,70,8.2,tt0095016,http://www.rottentomatoes.com/m/die_hard/
